dias;S;I;R;N
241;-250.09439654671144;1034.1797136330083;215.91468291370393;1000.0000000000008
242;525.8332576589827;491.9394081216128;-17.77266578059468;1000.0000000000008
243;-250.20104697127567;1034.5115279626466;215.68951900862987;1000.0000000000008
244;526.3065552290493;491.86290056553423;-18.16945579458269;1000.0000000000009
245;-250.3054512957949;1034.8359171302086;215.46953416558742;1000.0000000000011
246;526.7697624673292;491.78765738638185;-18.557419853709916;1000.0000000000011
247;-250.40683993003677;1035.152474628468;215.25436530156966;1000.000000000001
248;527.22094012238;491.7151654048621;-18.936105527241068;1000.0000000000009
249;-250.5066552091689;1035.4623420217963;215.04431318737366;1000.000000000001
250;527.6639684756291;491.64284191910235;-19.30681039473035;1000.0000000000011
251;-250.60267064338063;1035.7640851669375;214.8385854764443;1000.0000000000013
252;528.0930670546169;491.57485196246034;-19.66791901707606;1000.0000000000011
253;-250.69874672470792;1036.0605354848715;214.63821123983757;1000.0000000000011
254;528.5184866062533;491.50415551887227;-20.02264212512449;1000.0000000000011
255;-250.7886107003036;1036.347415698817;214.44119500148759;1000.000000000001
256;528.9237750575654;491.44236900762326;-20.36614406518771;1000.0000000000009
257;-250.88288405867013;1036.6322927233937;214.2505913352773;1000.0000000000009
258;529.3370138617196;491.36998720841495;-20.707001070133742;1000.0000000000008
259;-250.9639513288016;1036.9029298449402;214.06102148386228;1000.0000000000009
260;529.7118179260906;491.3195376300256;-21.031355556115244;1000.0000000000009
261;-251.06147845573082;1037.1802433596654;213.8812350960663;1000.0000000000009
262;530.1265375131261;491.2363830539706;-21.362920567095756;1000.0000000000009
263;-251.12579103349333;1037.4295103684462;213.69628066504794;1000.0000000000009
264;530.4501282648039;491.2122038752552;-21.662332140058226;1000.0000000000009
265;-251.24060138779453;1037.7095414389382;213.53105994885712;1000.0000000000008
266;530.9037063831195;491.09259599739914;-21.996302380517903;1000.0000000000007
267;-251.26493179386182;1037.921583403864;213.3433483899986;1000.0000000000007
268;531.1149557901849;491.1378306471373;-22.252786437321618;1000.0000000000007
269;-251.4369858429401;1038.2327768817418;213.20420896119896;1000.0000000000007
270;531.7133742245326;490.9081299382801;-22.62150416281196;1000.0000000000007
271;-251.35388038668202;1038.3607064987268;212.99317388795606;1000.0000000000009
272;531.6340980718528;491.1476994362454;-22.781797508097327;1000.0000000000009
273;-251.6984945577085;1038.7843303999289;212.91416415778022;1000.0000000000006
274;532.6828618376896;490.59482407017026;-23.277685907859365;1000.0000000000006
275;-251.31150282767885;1038.6907853386874;212.62071748899214;1000.0000000000007
276;531.7933238825037;491.39230231362194;-23.1856261961249;1000.0000000000008
277;-252.16411345040774;1039.4624455085811;212.7016679418273;1000.0000000000007
278;534.1812646595847;489.89553339755446;-24.076798057138348;1000.0000000000007
279;-250.89778208457767;1038.7442794025562;212.15350268202224;1000.0000000000008
280;530.9581254808551;492.31578135148914;-23.273906832343243;1000.0000000000009
281;-253.23906775223247;1040.5520356718077;212.68703208042564;1000.0000000000009
282;537.2862146314166;488.05796925630546;-25.344183887721158;1000.0000000000009
283;-249.39424183583333;1038.0181331591348;211.37610867669966;1000.0000000000011
284;527.2329941573752;495.2434348088201;-22.476428966194106;1000.0000000000011
